date,equity,cash
2024-01-22,101581.0,101581.0
2024-01-23,101581.0,101581.0
2024-01-24,101581.0,101581.0
2024-01-25,101581.0,101581.0
2024-01-26,101581.0,101581.0
2024-01-29,101581.0,101581.0
2024-01-30,101581.0,101581.0
2024-01-31,101581.0,101581.0
2024-02-01,101581.0,101581.0
2024-02-02,101581.0,101581.0
2024-02-05,101581.0,101581.0
2024-02-06,101581.0,101581.0
2024-02-07,101581.0,101581.0
2024-02-08,101581.0,101581.0
2024-02-09,101581.0,101581.0
2024-02-12,101581.0,101581.0
2024-02-13,101581.0,101581.0
2024-02-14,101581.0,101581.0
2024-02-15,101580.0,87253.0
2024-02-16,101580.0,87253.0
2024-02-20,101580.0,87253.0
2024-02-21,101580.0,87253.0
2024-02-22,101580.0,87253.0
2024-02-23,101311.0,101311.0
2024-02-26,101311.0,101311.0
2024-02-27,101311.0,101311.0
2024-02-28,101311.0,101311.0
2024-02-29,101311.0,101311.0
2024-03-01,101311.0,101311.0
2024-03-04,101311.0,101311.0
2024-03-05,101311.0,101311.0
2024-03-06,101310.0,97037.0
2024-03-07,101310.0,97037.0
2024-03-08,101310.0,97037.0
2024-03-11,101310.0,97037.0
2024-03-12,101310.0,97037.0
2024-03-13,101310.0,97037.0
2024-03-14,101310.0,97037.0
2024-03-15,101310.0,97037.0
2024-03-18,101310.0,97037.0
2024-03-19,101310.0,97037.0
2024-03-20,101310.0,97037.0
2024-03-21,101310.0,97037.0
2024-03-22,101310.0,97037.0
2024-03-25,101310.0,97037.0
2024-03-26,101310.0,97037.0
2024-03-27,101310.0,97037.0
2024-03-28,101310.0,97037.0
2024-04-01,101310.0,97037.0
2024-04-02,101310.0,97037.0
2024-04-03,101310.0,97037.0
2024-04-04,101310.0,97037.0
2024-04-05,101310.0,97037.0
2024-04-08,101310.0,97037.0
2024-04-09,101310.0,97037.0
2024-04-10,101310.0,97037.0
2024-04-11,101310.0,97037.0
2024-04-12,101310.0,97037.0
2024-04-15,101310.0,97037.0
2024-04-16,101310.0,97037.0
2024-04-17,101310.0,97037.0
2024-04-18,101310.0,97037.0
2024-04-19,101310.0,97037.0
2024-04-22,101310.0,97037.0
2024-04-23,101310.0,97037.0
2024-04-24,101310.0,97037.0
2024-04-25,101310.0,97037.0
2024-04-26,101310.0,97037.0
2024-04-29,101310.0,97037.0
2024-04-30,101310.0,97037.0
2024-05-01,101310.0,97037.0
2024-05-02,101310.0,97037.0
2024-05-03,101310.0,97037.0
2024-05-06,101310.0,97037.0
2024-05-07,101310.0,97037.0
2024-05-08,101310.0,97037.0
2024-05-09,101310.0,97037.0
2024-05-10,101310.0,97037.0
2024-05-13,101310.0,97037.0
2024-05-14,101310.0,97037.0
2024-05-15,101310.0,97037.0
2024-05-16,101310.0,97037.0
2024-05-17,101310.0,97037.0
2024-05-20,101310.0,97037.0
2024-05-21,101310.0,97037.0
2024-05-22,101310.0,97037.0
2024-05-23,101309.0,80986.0
2024-05-24,101309.0,80986.0
2024-05-28,101309.0,80986.0
2024-05-29,101309.0,80986.0
2024-05-30,101309.0,80986.0
2024-05-31,101309.0,80986.0
2024-06-03,101309.0,80986.0
2024-06-04,101309.0,80986.0
2024-06-05,101309.0,80986.0
2024-06-06,101309.0,80986.0
2024-06-07,101309.0,80986.0
2024-06-10,101309.0,80986.0
2024-06-11,101309.0,80986.0
2024-06-12,101309.0,80986.0
2024-06-13,101309.0,80986.0
2024-06-14,101309.0,80986.0
2024-06-17,101309.0,80986.0
2024-06-18,101309.0,80986.0
2024-06-20,101309.0,80986.0
2024-06-21,101309.0,80986.0
2024-06-24,101309.0,80986.0
2024-06-25,102308.0,98035.0
2024-06-26,102308.0,98035.0
2024-06-27,102308.0,98035.0
2024-06-28,102308.0,98035.0
2024-07-01,102308.0,98035.0
2024-07-02,102308.0,98035.0
2024-07-03,102308.0,98035.0
2024-07-05,102492.0,102492.0
2024-07-08,102492.0,102492.0
2024-07-09,102492.0,102492.0
2024-07-10,102492.0,102492.0
2024-07-11,102492.0,102492.0
2024-07-12,102492.0,102492.0
2024-07-15,102492.0,102492.0
2024-07-16,102492.0,102492.0
2024-07-17,102492.0,102492.0
2024-07-18,102492.0,102492.0
2024-07-19,102492.0,102492.0
2024-07-22,102492.0,102492.0
2024-07-23,102492.0,102492.0
2024-07-24,102492.0,102492.0
2024-07-25,102492.0,102492.0
2024-07-26,102492.0,102492.0
2024-07-29,102492.0,102492.0
2024-07-30,102491.0,97975.0
2024-07-31,102491.0,97975.0
2024-08-01,102491.0,97975.0
2024-08-02,102333.0,102333.0
2024-08-05,102333.0,102333.0
2024-08-06,102333.0,102333.0
2024-08-07,102333.0,102333.0
2024-08-08,102333.0,102333.0
2024-08-09,102332.0,97797.0
2024-08-12,102332.0,97797.0
2024-08-13,102332.0,97797.0
2024-08-14,102332.0,97797.0
2024-08-15,102332.0,97797.0
2024-08-16,102332.0,97797.0
2024-08-19,102332.0,97797.0
2024-08-20,102332.0,97797.0
2024-08-21,102332.0,97797.0
2024-08-22,102332.0,97797.0
2024-08-23,102332.0,97797.0
2024-08-26,102331.0,81909.0
2024-08-27,102331.0,81909.0
2024-08-28,102331.0,81909.0
2024-08-29,102331.0,81909.0
2024-08-30,102331.0,81909.0
2024-09-03,102158.0,86271.0
2024-09-04,102158.0,86271.0
2024-09-05,102158.0,86271.0
2024-09-06,102158.0,86271.0
2024-09-09,102158.0,86271.0
2024-09-10,102158.0,86271.0
2024-09-11,102158.0,86271.0
2024-09-12,102158.0,86271.0
2024-09-13,101748.0,101748.0
2024-09-16,101748.0,101748.0
2024-09-17,101748.0,101748.0
2024-09-18,101748.0,101748.0
2024-09-19,101748.0,101748.0
2024-09-20,101748.0,101748.0
2024-09-23,101748.0,101748.0
2024-09-24,101748.0,101748.0
2024-09-25,101748.0,101748.0
2024-09-26,101748.0,101748.0
2024-09-27,101748.0,101748.0
2024-09-30,101747.0,96895.0
2024-10-01,101747.0,96895.0
2024-10-02,101747.0,96895.0
2024-10-03,101747.0,96895.0
2024-10-04,101747.0,96895.0
2024-10-07,101747.0,96895.0
2024-10-08,101747.0,96895.0
2024-10-09,101747.0,96895.0
2024-10-10,101747.0,96895.0
2024-10-11,101747.0,96895.0
2024-10-14,101747.0,96895.0
2024-10-15,101973.0,101973.0
2024-10-16,101973.0,101973.0
2024-10-17,101973.0,101973.0
2024-10-18,101971.0,64804.0
2024-10-21,101971.0,64804.0
2024-10-22,101970.0,59656.0
2024-10-23,101970.0,59656.0
2024-10-24,101970.0,59656.0
2024-10-25,101970.0,59656.0
2024-10-28,101970.0,59656.0
2024-10-29,101910.0,64743.0
2024-10-30,101910.0,64743.0
2024-10-31,101910.0,64743.0
2024-11-01,101910.0,64743.0
2024-11-04,101910.0,64743.0
2024-11-05,101909.0,59664.0
2024-11-06,101909.0,59664.0
2024-11-07,101801.0,64634.0
2024-11-08,101801.0,64634.0
2024-11-11,101801.0,64634.0
2024-11-12,101801.0,64634.0
2024-11-13,101801.0,64634.0
2024-11-14,101801.0,64634.0
2024-11-15,101801.0,64634.0
2024-11-18,101801.0,64634.0
2024-11-19,101801.0,64634.0
2024-11-20,101801.0,64634.0
2024-11-21,101801.0,64634.0
2024-11-22,101801.0,64634.0
2024-11-25,101801.0,64634.0
2024-11-26,100737.0,81446.0
2024-11-27,100737.0,81446.0
2024-11-29,100737.0,81446.0
2024-12-02,100737.0,81446.0
2024-12-03,100737.0,81446.0
2024-12-04,100737.0,81446.0
2024-12-05,100736.0,76902.0
2024-12-06,100736.0,76902.0
2024-12-09,100736.0,76902.0
2024-12-10,100736.0,76902.0
2024-12-11,100736.0,76902.0
2024-12-12,100736.0,76902.0
2024-12-13,100736.0,76902.0
2024-12-16,100735.0,59305.0
2024-12-17,100735.0,59305.0
2024-12-18,100735.0,59305.0
2024-12-19,100735.0,59305.0
2024-12-20,100735.0,59305.0
2024-12-23,100735.0,59305.0
2024-12-24,100735.0,59305.0
2024-12-26,100735.0,59305.0
2024-12-27,100735.0,59305.0
2024-12-30,100735.0,59305.0
2024-12-31,100735.0,59305.0
